btype;pol;pkg;vceo;ic;hfe;ft_hz;pwr_w;comment
2N3250X;PNP;TO18;40;0.2;50min;250M;0.36;undef
2N3251;PNP;TO18;40;0.2;100min;300M;0.36;undef
2N3251A;PNP;TO18;60;0.2;100min;300M;0.36;undef
2N3252;NPN;TO39;30;1;30-90;200M;1;undef
2N3300;NPN;TO39;30;0.5;35min;800M;0.8;undef
2N3347;PNP;TO77;45;30m;40-300;60M;0.6;undef
2N3348;PNP;TO77;45;30m;40-300;60M;0.6;undef
2N3349;PNP;TO77;45;30m;40-300;60M;0.6;undef
2N3350;PNP;TO77;40;0.2;50-150;250M;0.36;undef
2N3351;PNP;TO77;40;0.2;100-300;300M;0.36;undef
2N3352;PNP;TO77;40;0.2;100-300;300M;0.36;undef
2N3410;NPN;TO77;30;0.5;50min;250M;600;undef
2N3411;NPN;TO77;30;0.5;50min;250M;600;undef
2N3420;NPN;TO39;60;3;40-120;40M;0.8;undef
2N3420A;NPN;TO39;60;5;40-120;40M;0.8;undef
2N3420AL;NPN;TO5;60;5;40-120;40M;0.8;undef
2N3421;NPN;TO39;80;3;40-120;40M;0.8;undef
2N3421A;NPN;TO39;80;5;40-120;40M;0.8;undef
2N3421LP;NPN;TO39LP;80;3;40-120;40M;0.8;undef
2N3425;NPN;TO77;15;-;20min;300M;0.3;undef
2N3439;NPN;TO39;300;1;40-160;15M;5;undef
2N3440;NPN;TO39;250;1;40-160;15M;5;undef
2N3440S;NPN;TO39;250;1;40-160;15M;5;undef
2N3441;NPN;TO66;140;3;20/800;-;25;undef
2N3448;NPN;TO3;80;7.5;40-120;10Mz;115;undef
2N3467;PNP;TO39;40;1;40-125;175M;1;undef
2N3485;PNP;TO46;40;0.6;40/120;200;0.4;undef
2N3485A;PNP;TO46;60;0.6;40/120;200;0.4;undef
2N3486;PNP;TO46;60;0.6;100/300;200;0.4;undef
2N3486A;PNP;TO46;60;0.6;100/300;200;0.4;undef
